"code","school_name","district_name","api11","api10","latitude","longitude"
"38684780111427","Dianne Feinstein Elementary","San Francisco Unified","889","861","37.739963","-122.48189"
"38684786040695","Alamo Elementary","San Francisco Unified","896","923","37.783000","-122.48226"
"38684786040703","Alvarado Elementary","San Francisco Unified","846","836","37.753709","-122.43816"
"38684786040737","Argonne Elementary","San Francisco Unified","883","888","37.775144","-122.47683"
"38684786040760","Bret Harte Elementary","San Francisco Unified","650","627","37.718631","-122.38888"
"38684786040778","Bryant Elementary","San Francisco Unified","701","696","37.755258","-122.40849"
"38684786040828","Clarendon Alternative Elementary","San Francisco Unified","945","944","37.752982","-122.45607"
"38684786040836","Cleveland Elementary","San Francisco Unified","664","664","37.720749","-122.42907"
"38684786040851","Commodore Sloat Elementary","San Francisco Unified","887","882","37.731909","-122.47096"
"38684786040877","Gordon J. Lau Elementary","San Francisco Unified","829","835","37.794403","-122.40879"
"38684786040893","Daniel Webster Elementary","San Francisco Unified","672","702","37.760484","-122.39627"
"38684786040919","Harvey Milk Civil Rights Elementary","San Francisco Unified","821","810","37.759175","-122.43634"
"38684786040943","Edward R. Taylor Elementary","San Francisco Unified","887","855","37.728025","-122.40734"
"38684786040950","El Dorado Elementary","San Francisco Unified","699","715","37.719259","-122.40670"
"38684786040968","William L. Cobb Elementary","San Francisco Unified","760","718","37.788200","-122.43919"
"38684786040984","Fairmount Elementary","San Francisco Unified","764","765","37.740653","-122.42562"
"38684786041008","Francis Scott Key Elementary","San Francisco Unified","884","882","37.758151","-122.50253"
"38684786041016","Frank McCoppin Elementary","San Francisco Unified","867","841","37.776285","-122.46398"
"38684786041040","Garfield Elementary","San Francisco Unified","812","835","37.801771","-122.40673"
"38684786041065","George Peabody Elementary","San Francisco Unified","902","886","37.783945","-122.46453"
"38684786041073","Glen Park Elementary","San Francisco Unified","754","764","37.733110","-122.43612"
"38684786041115","Grattan Elementary","San Francisco Unified","882","873","37.763884","-122.45053"
"38684786041123","Guadalupe Elementary","San Francisco Unified","804","804","37.710461","-122.43442"
"38684786041131","Yick Wo Elementary","San Francisco Unified","905","897","37.801906","-122.41627"
"38684786041149","Cesar Chavez Elementary","San Francisco Unified","","","37.754914","-122.41487"
"38684786041156","Hillcrest Elementary","San Francisco Unified","706","674","37.729053","-122.41924"
"38684786041206","Jean Parker Elementary","San Francisco Unified","844","859","37.797614","-122.41102"
"38684786041230","Jefferson Elementary","San Francisco Unified","897","893","37.763575","-122.47636"
"38684786041255","John Muir Elementary","San Francisco Unified","689","635","37.773764","-122.42866"
"38684786041271","Jose Ortega Elementary","San Francisco Unified","805","811","37.716139","-122.46626"
"38684786041289","Junipero Serra Elementary","San Francisco Unified","742","704","37.736735","-122.42110"
"38684786041305","Lafayette Elementary","San Francisco Unified","907","891","37.777055","-122.49687"
"38684786041321","Lakeshore Alternative Elementary","San Francisco Unified","","","37.730607","-122.48618"
"38684786041339","Lawton Alternative Elementary","San Francisco Unified","919","923","37.757946","-122.48962"
"38684786041347","Leonard R. Flynn Elementary","San Francisco Unified","710","706","37.748215","-122.41203"
"38684786041362","Longfellow Elementary","San Francisco Unified","825","808","37.710483","-122.44770"
