"code","school_name","district_name","api09","api08","latitude","longitude"
"38684780111427","Dianne Feinstein Elementary","San Francisco Unified","853","843","37.739963","-122.48189"
"38684786040695","Alamo Elementary","San Francisco Unified","913","897","37.783000","-122.48226"
"38684786040703","Alvarado Elementary","San Francisco Unified","815","819","37.753709","-122.43816"
"38684786040737","Argonne Elementary","San Francisco Unified","869","871","37.775144","-122.47683"
"38684786040760","Bret Harte Elementary","San Francisco Unified","613","623","37.718631","-122.38888"
"38684786040778","Bryant Elementary","San Francisco Unified","667","667","37.755258","-122.40849"
"38684786040828","Clarendon Alternative Elementary","San Francisco Unified","950","926","37.752982","-122.45607"
"38684786040836","Cleveland Elementary","San Francisco Unified","683","654","37.720749","-122.42907"
"38684786040851","Commodore Sloat Elementary","San Francisco Unified","872","848","37.731909","-122.47096"
"38684786040877","Gordon J. Lau Elementary","San Francisco Unified","830","831","37.794403","-122.40879"
"38684786040893","Daniel Webster Elementary","San Francisco Unified","645","616","37.760484","-122.39627"
"38684786040919","Harvey Milk Civil Rights Elementary","San Francisco Unified","783","768","37.759175","-122.43634"
"38684786040943","Edward R. Taylor Elementary","San Francisco Unified","865","844","37.728025","-122.40734"
"38684786040950","El Dorado Elementary","San Francisco Unified","691","721","37.719259","-122.40670"
"38684786040968","William L. Cobb Elementary","San Francisco Unified","700","730","37.788200","-122.43919"
"38684786040984","Fairmount Elementary","San Francisco Unified","687","718","37.740653","-122.42562"
"38684786041008","Francis Scott Key Elementary","San Francisco Unified","877","847","37.758151","-122.50253"
"38684786041016","Frank McCoppin Elementary","San Francisco Unified","827","813","37.776285","-122.46398"
"38684786041040","Garfield Elementary","San Francisco Unified","812","850","37.801771","-122.40673"
"38684786041065","George Peabody Elementary","San Francisco Unified","873","844","37.783945","-122.46453"
"38684786041073","Glen Park Elementary","San Francisco Unified","784","788","37.733110","-122.43612"
"38684786041115","Grattan Elementary","San Francisco Unified","822","783","37.763884","-122.45053"
"38684786041123","Guadalupe Elementary","San Francisco Unified","803","771","37.710461","-122.43442"
"38684786041131","Yick Wo Elementary","San Francisco Unified","871","860","37.801906","-122.41627"
"38684786041149","Cesar Chavez Elementary","San Francisco Unified","656","646","37.754914","-122.41487"
