"code","school_name","district_name","api08","api07","latitude","longitude"
"38684780102087","Excelsior Middle","San Francisco Unified","608","606","",""
"38684780111427","Dianne Feinstein Elementary","San Francisco Unified","840","836","37.739963","-122.48189"
"38684786040695","Alamo Elementary","San Francisco Unified","902","902","37.783000","-122.48226"
"38684786040703","Alvarado Elementary","San Francisco Unified","826","797","37.753709","-122.43816"
"38684786040737","Argonne Elementary","San Francisco Unified","873","844","37.775144","-122.47683"
"38684786040760","Bret Harte Elementary","San Francisco Unified","623","751","37.718631","-122.38888"
"38684786040778","Bryant Elementary","San Francisco Unified","664","642","37.755258","-122.40849"
"38684786040828","Clarendon Alternative Elementary","San Francisco Unified","929","919","37.752982","-122.45607"
"38684786040836","Cleveland Elementary","San Francisco Unified","656","677","37.720749","-122.42907"
"38684786040851","Commodore Sloat Elementary","San Francisco Unified","854","870","37.731909","-122.47096"
"38684786040877","Gordon J. Lau Elementary","San Francisco Unified","836","844","37.794403","-122.40879"
"38684786040893","Daniel Webster Elementary","San Francisco Unified","612","656","37.760484","-122.39627"
"38684786040919","Harvey Milk Civil Rights Elementary","San Francisco Unified","772","783","37.759175","-122.43634"
"38684786040943","Edward R. Taylor Elementary","San Francisco Unified","853","827","37.728025","-122.40734"
"38684786040950","El Dorado Elementary","San Francisco Unified","724","743","37.719259","-122.40670"
"38684786040968","William L. Cobb Elementary","San Francisco Unified","726","698","37.788200","-122.43919"
"38684786040984","Fairmount Elementary","San Francisco Unified","720","699","37.740653","-122.42562"
"38684786041008","Francis Scott Key Elementary","San Francisco Unified","861","852","37.758151","-122.50253"
"38684786041016","Frank McCoppin Elementary","San Francisco Unified","813","799","37.776285","-122.46398"
"38684786041040","Garfield Elementary","San Francisco Unified","867","851","37.801771","-122.40673"
"38684786041065","George Peabody Elementary","San Francisco Unified","859","814","37.783945","-122.46453"
"38684786041073","Glen Park Elementary","San Francisco Unified","794","799","37.733110","-122.43612"
"38684786041115","Grattan Elementary","San Francisco Unified","787","832","37.763884","-122.45053"
"38684786041123","Guadalupe Elementary","San Francisco Unified","776","793","37.710461","-122.43442"
"38684786041131","Yick Wo Elementary","San Francisco Unified","865","846","37.801906","-122.41627"
"38684786041149","Cesar Chavez Elementary","San Francisco Unified","647","593","37.754914","-122.41487"
"38684786041156","Hillcrest Elementary","San Francisco Unified","671","669","37.729053","-122.41924"
"38684786041206","Jean Parker Elementary","San Francisco Unified","846","812","37.797614","-122.41102"
"38684786041230","Jefferson Elementary","San Francisco Unified","870","859","37.763575","-122.47636"
"38684786041255","John Muir Elementary","San Francisco Unified","634","570","37.773764","-122.42866"
"38684786041271","Jose Ortega Elementary","San Francisco Unified","808","765","37.716139","-122.46626"
"38684786041289","Junipero Serra Elementary","San Francisco Unified","765","762","37.736735","-122.42110"
"38684786041305","Lafayette Elementary","San Francisco Unified","853","830","37.777055","-122.49687"
"38684786041321","Lakeshore Alternative Elementary","San Francisco Unified","830","826","37.730607","-122.48618"
"38684786041339","Lawton Alternative Elementary","San Francisco Unified","914","905","37.757946","-122.48962"
"38684786041347","Leonard R. Flynn Elementary","San Francisco Unified","697","705","37.748215","-122.41203"
"38684786041362","Longfellow Elementary","San Francisco Unified","825","822","37.710483","-122.44770"
"38684786041412","Marshall Elementary","San Francisco Unified","706","729","37.766703","-122.41910"
"38684786041420","McKinley Elementary","San Francisco Unified","785","765","37.767254","-122.43660"
"38684786041438","Miraloma Elementary","San Francisco Unified","825","772","37.739334","-122.45021"
"38684786041446","Monroe Elementary","San Francisco Unified","783","758","37.725398","-122.43048"
"38684786041487","Paul Revere Elementary","San Francisco Unified","633","630","37.737114","-122.41318"
"38684786041503","Rosa Parks Elementary","San Francisco Unified","743","695","37.783711","-122.42946"
"38684786041511","Redding Elementary","San Francisco Unified","786","795","37.789753","-122.41922"
"38684786041529","Robert Louis Stevenson Elementary","San Francisco Unified","924","889","37.748858","-122.49226"
"38684786041545","Sanchez Elementary","San Francisco Unified","683","737","37.763961","-122.43080"
"38684786041560","Sheridan Elementary","San Francisco Unified","810","823","37.714331","-122.45909"
"38684786041578","Sherman Elementary","San Francisco Unified","891","877","37.797803","-122.42611"
