"code","school_name","district_name","api07","api06","latitude","longitude"
"38684780111427","Dianne Feinstein Elementary","San Francisco Unified","837","B","37.739963","-122.48189"
"38684786040695","Alamo Elementary","San Francisco Unified","903","901","37.783000","-122.48226"
"38684786040703","Alvarado Elementary","San Francisco Unified","801","819","37.753709","-122.43816"
"38684786040737","Argonne Elementary","San Francisco Unified","847","865","37.775144","-122.47683"
"38684786040752","Carmichael (Bessie) Elementary","San Francisco Unified","777","726","37.776093","-122.40645"
"38684786040760","Harte (Bret) Elementary","San Francisco Unified","747","730","37.718631","-122.38888"
"38684786040778","Bryant Elementary","San Francisco Unified","639","668","37.755258","-122.40849"
"38684786040828","Clarendon Elementary","San Francisco Unified","920","905","37.752982","-122.45607"
"38684786040836","Cleveland Elementary","San Francisco Unified","682","658","37.720749","-122.42907"
"38684786040851","Commodore Sloat Elementary","San Francisco Unified","867","866","37.731909","-122.47096"
"38684786040877","Lau (Gordon J.) Elementary","San Francisco Unified","840","806","37.794403","-122.40879"
"38684786040893","Webster (Daniel) Elementary","San Francisco Unified","658","668","37.760484","-122.39627"
"38684786040919","Milk (Harvey) Civil Rights Elementary","San Francisco Unified","779","792","37.759175","-122.43634"
"38684786040943","Taylor (Edward R.) Elementary","San Francisco Unified","830","799","37.728025","-122.40734"
"38684786040950","El Dorado Elementary","San Francisco Unified","728","719","37.719259","-122.40670"
"38684786040968","Cobb (William L.) Elementary","San Francisco Unified","689","661","37.788200","-122.43919"
"38684786040984","Fairmount Elementary","San Francisco Unified","705","687","37.740653","-122.42562"
"38684786041008","Francis Scott Key Elementary","San Francisco Unified","837","844","37.758151","-122.50253"
"38684786041016","McCoppin (Frank) Elementary","San Francisco Unified","798","807","37.776285","-122.46398"
"38684786041040","Garfield Elementary","San Francisco Unified","843","817","37.801771","-122.40673"
"38684786041065","Peabody (George) Elementary","San Francisco Unified","792","772","37.783945","-122.46453"
"38684786041073","Glen Park Elementary","San Francisco Unified","801","786","37.733110","-122.43612"
"38684786041115","Grattan Elementary","San Francisco Unified","834","780","37.763884","-122.45053"
"38684786041123","Guadalupe Elementary","San Francisco Unified","790","767","37.710461","-122.43442"
"38684786041131","Yick Wo Elementary","San Francisco Unified","842","856","37.801906","-122.41627"
"38684786041149","Chavez (Cesar) Elementary","San Francisco Unified","596","735","37.754914","-122.41487"
"38684786041156","Hillcrest Elementary","San Francisco Unified","663","664","37.729053","-122.41924"
"38684786041206","Parker (Jean) Elementary","San Francisco Unified","805","804","37.797614","-122.41102"
"38684786041230","Jefferson Elementary","San Francisco Unified","863","868","37.763575","-122.47636"
"38684786041255","Muir (John) Elementary","San Francisco Unified","573","615","37.773764","-122.42866"
"38684786041271","Ortega (Jose) Elementary","San Francisco Unified","751","764","37.716139","-122.46626"
"38684786041289","Serra (Junipero) Elementary","San Francisco Unified","755","735","37.736735","-122.42110"
"38684786041305","Lafayette Elementary","San Francisco Unified","813","829","37.777055","-122.49687"
"38684786041321","Lakeshore Elementary","San Francisco Unified","829","822","37.730607","-122.48618"
"38684786041339","Lawton Elementary","San Francisco Unified","907","887","37.757946","-122.48962"
"38684786041347","Flynn (Leonard R.) Elementary","San Francisco Unified","696","660","37.748215","-122.41203"
"38684786041362","Longfellow Elementary","San Francisco Unified","808","817","37.710483","-122.44770"
"38684786041412","Marshall Elementary","San Francisco Unified","731","671","37.766703","-122.41910"
"38684786041420","McKinley Elementary","San Francisco Unified","770","741","37.767254","-122.43660"
"38684786041438","Miraloma Elementary","San Francisco Unified","767","700","37.739334","-122.45021"
"38684786041446","Monroe Elementary","San Francisco Unified","752","747","37.725398","-122.43048"
"38684786041487","Revere (Paul) Elementary","San Francisco Unified","631","606","37.737114","-122.41318"
"38684786041503","Parks (Rosa) Elementary","San Francisco Unified","699","677","37.783711","-122.42946"
"38684786041511","Redding Elementary","San Francisco Unified","789","762","37.789753","-122.41922"
"38684786041529","Stevenson (Robert Louis) Elementary","San Francisco Unified","882","882","37.748858","-122.49226"
"38684786041545","Sanchez Elementary","San Francisco Unified","726","696","37.763961","-122.43080"
"38684786041560","Sheridan Elementary","San Francisco Unified","819","843","37.714331","-122.45909"
"38684786041578","Sherman Elementary","San Francisco Unified","867","828","37.797803","-122.42611"
"38684786041594","Spring Valley Elementary","San Francisco Unified","798","828","37.794433","-122.41900"
"38684786041602","Starr King Elementary","San Francisco Unified","712","751","37.752761","-122.39938"
"38684786041610","Sunnyside Elementary","San Francisco Unified","755","775","37.730302","-122.44883"
"38684786041644","Sutro Elementary","San Francisco Unified","840","843","37.783929","-122.47099"
"38684786041685","Ulloa Elementary","San Francisco Unified","884","896","37.737297","-122.49998"
"38684786041701","Visitacion Valley Elementary","San Francisco Unified","802","781","37.712687","-122.41040"
"38684786041727","West Portal Elementary","San Francisco Unified","895","898","37.743570","-122.46471"
"38684786059828","Giannini (A. P.) Middle","San Francisco Unified","859","843","37.751448","-122.49702"
"38684786059844","Francisco Middle","San Francisco Unified","678","695","37.804808","-122.41172"
"38684786059851","Hoover (Herbert) Middle","San Francisco Unified","827","837","37.745345","-122.47034"
"38684786059869","Denman (James) Middle","San Francisco Unified","697","688","37.722016","-122.44330"
"38684786059885","King (Martin Luther Jr) Academic Middle","San Francisco Unified","722","720","37.727954","-122.40488"
"38684786059901","Roosevelt Middle","San Francisco Unified","822","797","37.782289","-122.45835"
"38684786059919","Visitacion Valley Middle","San Francisco Unified","666","661","37.714745","-122.41250"
"38684786062020","Aptos Middle","San Francisco Unified","776","778","37.730238","-122.46627"
"38684786062038","Everett Middle","San Francisco Unified","597","582","37.763619","-122.42968"
"38684786062046","Mann (Horace) Middle","San Francisco Unified","571","584","37.753737","-122.41974"
"38684786062053","Lick (James) Middle","San Francisco Unified","693","665","37.749542","-122.43172"
"38684786062061","Marina Middle","San Francisco Unified","790","765","37.801666","-122.43639"
"38684786062079","Presidio Middle","San Francisco Unified","849","853","37.780828","-122.49013"
"38684786089775","Rooftop Elementary","San Francisco Unified","851","846","37.754420","-122.44392"
"38684786093496","Carver (George Washington) Elementary","San Francisco Unified","645","668","37.732379","-122.38640"
"38684786097919","New Traditions Elementary","San Francisco Unified","716","741","37.774331","-122.45033"
"38684786099154","Moscone (George R.) Elementary","San Francisco Unified","834","839","37.756241","-122.41227"
"38684786102479","Lilienthal (Claire B.) Elementary","San Francisco Unified","870","870","37.803315","-122.44290"
"38684786104673","Drew (Charles R.) Elementary","San Francisco Unified","669","688","37.731774","-122.39351"
"38684786113237","Davis (Gloria R.) Middle","San Francisco Unified","507","557","",""
"38684786113245","Yu (Alice Fong) Elementary","San Francisco Unified","943","942","37.759409","-122.46928"
"38684786113997","Sunset Elementary","San Francisco Unified","852","837","37.750743","-122.49983"
