school,code,district,api,api_old,school_latitude,school_longitude,crime_caseID,date_time,crime,crime_latitude,crime_longitude,url,description
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,110655731,2011-08-16T08:05:00-07:00,Theft,37.783032,-122.48276,http://sanfrancisco.crimespotting.org/crime/2011-08-16/Theft/512411,LOST PROPERTY&PETTY THEFT (UNFOUNDED)
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,110883001,2011-10-22T18:02:00-07:00,Vehicle Theft,37.781998,-122.483008,http://sanfrancisco.crimespotting.org/crime/2011-10-22/Vehicle_Theft/553,Stolen truck
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,110725516,2011-09-08T19:00:00-07:00,Theft,37.783924,-122.481826,http://sanfrancisco.crimespotting.org/crime/2011-09-08/Theft/156,Grand theft from a building
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120163508,2012-02-25T09:00:00-08:00,Vehicle Theft,37.78216,-122.481662,http://sanfrancisco.crimespotting.org/crime/2012-02-25/Vehicle_Theft/70006,STOLEN AUTOMOBILE
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120061388,2012-01-22T23:59:00-08:00,Vehicle Theft,37.782223,-122.482899,http://sanfrancisco.crimespotting.org/crime/2012-01-22/Vehicle_Theft/52788,STOLEN AUTOMOBILE (UNFOUNDED)
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120336868,2012-04-27T12:00:00-07:00,Theft,37.782744,-122.48166,http://sanfrancisco.crimespotting.org/crime/2012-04-27/Theft/83626,PETTY THEFT FROM A BUILDING
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,126066738,2012-05-18T13:15:00-07:00,Theft,37.78211,-122.482101,http://sanfrancisco.crimespotting.org/crime/2012-05-18/Theft/100926,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120383831,2012-05-12T15:00:00-07:00,Arson,37.782002,-122.482905,http://sanfrancisco.crimespotting.org/crime/2012-05-12/Arson/86185,ARSON OF A COMMERCIAL BUILDING
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120417220,2012-05-26T12:42:00-07:00,Simple Assault,37.783917,-122.481815,http://sanfrancisco.crimespotting.org/crime/2012-05-26/Simple_Assault/131126,BATTERY (PSYCHOPATHIC CASE)
Alamo Elementary,38684786040695,San Francisco Unified,909,896,37.783,-122.48226,120398272,2012-05-19T09:00:00-07:00,Burglary,37.784042,-122.482216,http://sanfrancisco.crimespotting.org/crime/2012-05-19/Burglary/101001,BURGLARY&UNLAWFUL ENTRY
