school,code,district,api,api_old,school_latitude,school_longitude,crime_caseID,date_time,crime,crime_latitude,crime_longitude,url,description
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,120664528,2012-08-20T23:00:00-07:00,Robbery,37.782107,-122.482165,http://sanfrancisco.crimespotting.org/crime/2012-08-20/Robbery/433029,ROBBERY OF A COMMERCIAL ESTABLISHMENT WITH A GUN
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130313630,2013-04-16T14:00:00-07:00,Theft,37.782249,-122.482216,http://sanfrancisco.crimespotting.org/crime/2013-04-16/Theft/459800,GRAND THEFT PICKPOCKET
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130162409,2013-02-24T23:00:00-08:00,Burglary,37.782122,-122.481761,http://sanfrancisco.crimespotting.org/crime/2013-02-24/Burglary/488707,BURGLARY&ATTEMPTED FORCIBLE ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130322120,2013-04-19T22:00:00-07:00,Vandalism,37.782122,-122.481761,http://sanfrancisco.crimespotting.org/crime/2013-04-19/Vandalism/460365,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,126177608,2012-11-06T21:00:00-08:00,Theft,37.784028,-122.481791,http://sanfrancisco.crimespotting.org/crime/2012-11-06/Theft/446589,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,136052620,2013-03-22T13:15:00-07:00,Theft,37.782188,-122.481786,http://sanfrancisco.crimespotting.org/crime/2013-03-22/Theft/493952,ATTEMPTED THEFT FROM LOCKED VEHICLE
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130072745,2013-01-25T23:45:00-08:00,Burglary,37.783917,-122.481815,http://sanfrancisco.crimespotting.org/crime/2013-01-25/Burglary/482362,BURGLARY OF STORE&FORCIBLE ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130379723,2013-05-08T21:00:00-07:00,Theft,37.78212,-122.482737,http://sanfrancisco.crimespotting.org/crime/2013-05-08/Theft/464342,PETTY THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,136014846,2013-01-15T20:30:00-08:00,Theft,37.782264,-122.481627,http://sanfrancisco.crimespotting.org/crime/2013-01-15/Theft/480450,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,136022043,2013-01-27T09:30:00-08:00,Theft,37.784028,-122.481791,http://sanfrancisco.crimespotting.org/crime/2013-01-27/Theft/482928,PETTY THEFT OF PROPERTY
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,136027918,2013-01-29T11:30:00-08:00,Theft,37.783032,-122.48276,http://sanfrancisco.crimespotting.org/crime/2013-01-29/Theft/483361,PETTY THEFT OF PROPERTY
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,136053690,2013-03-23T20:30:00-07:00,Theft,37.78212,-122.482737,http://sanfrancisco.crimespotting.org/crime/2013-03-23/Theft/494195,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,126119848,2012-08-18T13:34:00-07:00,Vandalism,37.78212,-122.482737,http://sanfrancisco.crimespotting.org/crime/2012-08-18/Vandalism/432676,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,898,909,37.783,-122.48226,130203207,2013-03-10T10:00:00-07:00,Burglary,37.782122,-122.481761,http://sanfrancisco.crimespotting.org/crime/2013-03-10/Burglary/491456,BURGLARY&FORCIBLE ENTRY
