school,code,district,api,api_old,school_latitude,school_longitude,crime_caseID,date_time,crime,crime_latitude,crime_longitude,url,description
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96090405,2009-09-27T00:01:00-07:00,Vandalism,37.784146,-122.482743,http://sanfrancisco.crimespotting.org/crime/2009-09-27/Vandalism/679697,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100019614,2010-01-06T15:00:00-08:00,Vandalism,37.782185,-122.481893,http://sanfrancisco.crimespotting.org/crime/2010-01-06/Vandalism/556590,MALICIOUS MISCHIEF&VANDALISM OF VEHICLES
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96102696,2009-10-14T21:45:00-07:00,Theft,37.783977,-122.48287,http://sanfrancisco.crimespotting.org/crime/2009-10-14/Theft/683376,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100452111,2010-05-15T22:20:00-07:00,Narcotics,37.784028,-122.481791,http://sanfrancisco.crimespotting.org/crime/2010-05-15/Narcotics/580457,POSSESSION OF MARIJUANA FOR SALES (ARREST&BOOKED)
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96065680,2009-08-06T12:00:00-07:00,Theft,37.782532,-122.481826,http://sanfrancisco.crimespotting.org/crime/2009-08-06/Theft/667740,PETTY THEFT OF PROPERTY
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100297199,2010-03-29T19:30:00-07:00,Burglary,37.782085,-122.482751,http://sanfrancisco.crimespotting.org/crime/2010-03-29/Burglary/572207,BURGLARY OF STORE&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96087725,2009-09-17T17:00:00-07:00,Vandalism,37.782256,-122.48203,http://sanfrancisco.crimespotting.org/crime/2009-09-17/Vandalism/677509,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96083325,2009-09-10T18:00:00-07:00,Theft,37.782281,-122.481809,http://sanfrancisco.crimespotting.org/crime/2009-09-10/Theft/675929,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100214911,2010-03-05T23:06:00-08:00,Alcohol,37.783977,-122.48287,http://sanfrancisco.crimespotting.org/crime/2010-03-05/Alcohol/567809,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL (ARREST&BOOKED)
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100204144,2010-03-01T21:00:00-08:00,Burglary,37.782807,-122.482828,http://sanfrancisco.crimespotting.org/crime/2010-03-01/Burglary/567090,BURGLARY OF APARTMENT HOUSE&FORCIBLE ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,96104971,2009-10-22T11:00:00-07:00,Vandalism,37.783977,-122.48287,http://sanfrancisco.crimespotting.org/crime/2009-10-22/Vandalism/684896,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,90998249,2009-09-26T16:30:00-07:00,Vandalism,37.784075,-122.482738,http://sanfrancisco.crimespotting.org/crime/2009-09-26/Vandalism/679606,MALICIOUS MISCHIEF&VANDALISM
Alamo Elementary,38684786040695,San Francisco Unified,923,913,37.783,-122.48226,100422227,2010-05-06T23:30:00-07:00,Burglary,37.783654,-122.482889,http://sanfrancisco.crimespotting.org/crime/2010-05-06/Burglary/578816,BURGLARY OF APARTMENT HOUSE&UNLAWFUL ENTRY
John Muir Elementary,38684786041255,San Francisco Unified,635,592,37.773764,-122.42866,91295177,2009-12-22T12:28:00-08:00,Vehicle Theft,37.774299,-122.427985,http://sanfrancisco.crimespotting.org/crime/2009-12-22/Vehicle_Theft/697610,STOLEN AUTOMOBILE
John Muir Elementary,38684786041255,San Francisco Unified,635,592,37.773764,-122.42866,96133760,2009-12-26T22:00:00-08:00,Theft,37.774182,-122.429179,http://sanfrancisco.crimespotting.org/crime/2009-12-26/Theft/698422,GRAND THEFT FROM LOCKED AUTO
John Muir Elementary,38684786041255,San Francisco Unified,635,592,37.773764,-122.42866,90866226,2009-08-21T16:30:00-07:00,Vehicle Theft,37.773246,-122.428992,http://sanfrancisco.crimespotting.org/crime/2009-08-21/Vehicle_Theft/671196,STOLEN TRUCK
John Muir Elementary,38684786041255,San Francisco Unified,635,592,37.773764,-122.42866,106002235,2009-12-28T19:30:00-08:00,Theft,37.773246,-122.428992,http://sanfrancisco.crimespotting.org/crime/2009-12-28/Theft/698769,GRAND THEFT OF PROPERTY
John Muir Elementary,38684786041255,San Francisco Unified,635,592,37.773764,-122.42866,100112575,2010-01-31T15:00:00-08:00,Burglary,37.774299,-122.427985,http://sanfrancisco.crimespotting.org/crime/2010-01-31/Burglary/561569,BURGLARY;FLAT UNDER CONSTRUCTION&FORCIBLE ENTRY
