school,code,district,api,api_old,school_latitude,school_longitude,crime_caseID,date_time,crime,crime_latitude,crime_longitude,url,description
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100982469,2010-10-21T21:00:00-07:00,Theft,37.784028,-122.481791,http://sanfrancisco.crimespotting.org/crime/2010-10-21/Theft/610251,PETTY THEFT OF PROPERTY (UNFOUNDED)
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100771165,2010-08-21T23:30:00-07:00,Burglary,37.783763,-122.482897,http://sanfrancisco.crimespotting.org/crime/2010-08-21/Burglary/598495,BURGLARY&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100937925,2010-10-08T23:10:00-07:00,Simple Assault,37.782012,-122.482771,http://sanfrancisco.crimespotting.org/crime/2010-10-08/Simple_Assault/607734,BATTERY
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,110243778,2011-03-24T21:45:00-07:00,Vehicle Theft,37.782177,-122.482105,http://sanfrancisco.crimespotting.org/crime/2011-03-24/Vehicle_Theft/554164,STOLEN AUTOMOBILE
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,101096722,2010-11-26T23:40:00-08:00,Simple Assault,37.783654,-122.482889,http://sanfrancisco.crimespotting.org/crime/2010-11-26/Simple_Assault/616904,BATTERY
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100838793,2010-09-10T18:20:00-07:00,Theft,37.781946,-122.481784,http://sanfrancisco.crimespotting.org/crime/2010-09-10/Theft/602336,PETTY THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,110261247,2011-03-30T14:30:00-07:00,Burglary,37.782043,-122.481832,http://sanfrancisco.crimespotting.org/crime/2011-03-30/Burglary/555159,BURGLARY OF APARTMENT HOUSE&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100831797,2010-09-08T08:45:00-07:00,Burglary,37.784042,-122.482216,http://sanfrancisco.crimespotting.org/crime/2010-09-08/Burglary/601961,BURGLARY OF APARTMENT HOUSE&UNLAWFUL ENTRY
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,116102289,2011-05-22T23:00:00-07:00,Theft,37.784028,-122.481791,http://sanfrancisco.crimespotting.org/crime/2011-05-22/Theft/531807,GRAND THEFT FROM LOCKED AUTO
Alamo Elementary,38684786040695,San Francisco Unified,896,923,37.783,-122.48226,100791066,2010-08-27T22:43:00-07:00,Alcohol,37.782188,-122.481786,http://sanfrancisco.crimespotting.org/crime/2010-08-27/Alcohol/599640,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE
