zpid,street,zipcode,city,state,latitude,longitude,amount,lowAmount,highAmount,percentile,elemSchool,midSchool
15121454,3619 Santiago St,94116,San Francisco,CA,37.743364,-122.506217,743110,653937,817421,28,Ulloa Elementary,Herbert Hoover Middle
15121457,2415 47th Ave,94116,San Francisco,CA,37.741361,-122.505973,616431,536295,727389,1,Ulloa Elementary,Herbert Hoover Middle
15121464,2443-2445 47th Ave,94116,San Francisco,CA,37.74088,-122.505927,965351,859162,1119807,76,Ulloa Elementary,Herbert Hoover Middle
15121506,2431 46th Ave,94116,San Francisco,CA,37.741133,-122.504905,738789,672298,820056,27,Ulloa Elementary,Herbert Hoover Middle
15121565,2491 45th Ave,94116,San Francisco,CA,37.740156,-122.503676,861405,766650,938931,61,Ulloa Elementary,Herbert Hoover Middle
15121579,2462 46th Ave,94116,San Francisco,CA,37.740613,-122.50421,693664,624298,769967,12,Ulloa Elementary,Herbert Hoover Middle
15121582,2450 46th Ave,94116,San Francisco,CA,37.740819,-122.504225,722189,664414,794408,22,Ulloa Elementary,Herbert Hoover Middle
15121583,2446 46th Ave,94116,San Francisco,CA,37.740888,-122.50423,925613,786771,1045943,71,Ulloa Elementary,Herbert Hoover Middle
15121586,2434 46th Ave,94116,San Francisco,CA,37.741093,-122.504244,707891,587550,806996,17,Ulloa Elementary,Herbert Hoover Middle
15121601,2451 44th Ave,94116,San Francisco,CA,37.74089,-122.502738,767634,675518,836721,35,Ulloa Elementary,Herbert Hoover Middle
15121606,2471 44th Ave,94116,San Francisco,CA,37.740547,-122.502714,685096,637139,781009,10,Ulloa Elementary,Herbert Hoover Middle
15121615,4334 Ulloa St,94116,San Francisco,CA,37.740221,-122.502987,727208,639943,821745,23,Ulloa Elementary,Herbert Hoover Middle
15121619,2488 45th Ave,94116,San Francisco,CA,37.740231,-122.50326,615714,547985,695757,1,Ulloa Elementary,Herbert Hoover Middle
15121622,2474 45th Ave,94116,San Francisco,CA,37.74046,-122.503125,830822,706199,947137,53,Ulloa Elementary,Herbert Hoover Middle
15121645,2407 43rd Ave,94116,San Francisco,CA,37.741696,-122.50161,607079,552442,679928,0,Ulloa Elementary,Herbert Hoover Middle
15121648,2419 43rd Ave,94116,San Francisco,CA,37.741484,-122.501704,932194,783043,1053379,72,Ulloa Elementary,Herbert Hoover Middle
15121706,2475 42nd Ave,94116,San Francisco,CA,37.74057,-122.500564,725345,674571,826893,23,Ulloa Elementary,Herbert Hoover Middle
15121720,2474 43rd Ave,94116,San Francisco,CA,37.740552,-122.500979,611889,544581,709791,0,Ulloa Elementary,Herbert Hoover Middle
15121729,2434 43rd Ave,94116,San Francisco,CA,37.741237,-122.501027,660863,607994,740167,4,Ulloa Elementary,Herbert Hoover Middle
15121767,2474 42nd Ave,94116,San Francisco,CA,37.740597,-122.499908,680400,619164,755244,8,Ulloa Elementary,Herbert Hoover Middle
15121772,2454 42nd Ave,94116,San Francisco,CA,37.74094,-122.499932,661875,608925,734681,4,Ulloa Elementary,Herbert Hoover Middle
15121786,3115-3117 Taraval St,94116,San Francisco,CA,37.741781,-122.499606,903404,776927,1002778,68,Ulloa Elementary,Herbert Hoover Middle
15121799,2479 40th Ave,94116,San Francisco,CA,37.740595,-122.498417,792535,729132,879714,42,Ulloa Elementary,Herbert Hoover Middle
15121808,2490 41st Ave,94116,San Francisco,CA,37.740368,-122.498883,667145,600431,760545,5,Ulloa Elementary,Herbert Hoover Middle
15121821,2438 41st Ave,94116,San Francisco,CA,37.741262,-122.498881,793272,713945,872599,42,Ulloa Elementary,Herbert Hoover Middle
15121822,2434 41st Ave,94116,San Francisco,CA,37.74133,-122.498886,627783,546171,696839,1,Ulloa Elementary,Herbert Hoover Middle
15121824,2426 41st Ave,94116,San Francisco,CA,37.741467,-122.498895,674101,606691,761734,6,Ulloa Elementary,Herbert Hoover Middle
15121847,2479 39th Ave,94116,San Francisco,CA,37.740642,-122.497344,831169,748052,889351,53,Ulloa Elementary,Herbert Hoover Middle
15121860,2474 40th Ave,94116,San Francisco,CA,37.740692,-122.497765,814305,716588,903879,48,Ulloa Elementary,Herbert Hoover Middle
15121863,2462 40th Ave,94116,San Francisco,CA,37.740898,-122.497779,801817,705599,873981,44,Ulloa Elementary,Herbert Hoover Middle
15121868,2442 40th Ave,94116,San Francisco,CA,37.741241,-122.497803,650871,598801,748502,3,Ulloa Elementary,Herbert Hoover Middle
15121880,2907-2909 Taraval St,94116,San Francisco,CA,37.741887,-122.497378,950611,808019,1074190,74,Ulloa Elementary,Herbert Hoover Middle
15121887,2435 38th Ave,94116,San Francisco,CA,37.741443,-122.496327,721388,642035,793527,21,Ulloa Elementary,Herbert Hoover Middle
15121925,2472 39th Ave,94116,San Francisco,CA,37.740808,-122.496696,1081953,941299,1211787,84,Ulloa Elementary,Herbert Hoover Middle
15121938,2431 37th Ave,94116,San Francisco,CA,37.741563,-122.495264,874549,769603,962004,63,Ulloa Elementary,Herbert Hoover Middle
15121978,2414-2416 38th Ave,94116,San Francisco,CA,37.741815,-122.495761,873923,777791,952576,63,Ulloa Elementary,Herbert Hoover Middle
15121999,2471 35th Ave,94116,San Francisco,CA,37.740972,-122.493073,902932,803609,984196,68,Dianne Feinstein Elementary,Aptos Middle
15122008,3432 Ulloa St,94116,San Francisco,CA,37.740647,-122.493345,621519,546937,727177,1,Dianne Feinstein Elementary,Aptos Middle
15122014,2470 36th Ave,94116,San Francisco,CA,37.740954,-122.493487,856773,771096,933883,60,Dianne Feinstein Elementary,Aptos Middle
15122027,2414 36th Ave,94116,San Francisco,CA,37.741911,-122.493619,865918,762008,943851,62,Dianne Feinstein Elementary,Aptos Middle
15122032,2419 34th Ave,94116,San Francisco,CA,37.74191,-122.492066,770805,670600,847885,36,Dianne Feinstein Elementary,Aptos Middle
15122058,2474 35th Ave,94116,San Francisco,CA,37.740928,-122.492412,1008807,928102,1180304,80,Dianne Feinstein Elementary,Aptos Middle
15122064,2446 35th Ave,94116,San Francisco,CA,37.741412,-122.492446,823601,741241,905961,50,Dianne Feinstein Elementary,Aptos Middle
15122090,2471 33rd Ave,94116,San Francisco,CA,37.741063,-122.490924,1376110,1210977,1555004,94,Dianne Feinstein Elementary,Aptos Middle
15122116,2426 34th Ave,94116,San Francisco,CA,37.741798,-122.4914,738826,635390,834873,27,Dianne Feinstein Elementary,Aptos Middle
15122126,2431 32nd Ave,94116,San Francisco,CA,37.741795,-122.489905,787224,700629,889563,40,Dianne Feinstein Elementary,Aptos Middle
15122133,2463 32nd Ave,94116,San Francisco,CA,37.741247,-122.489867,851867,758162,920016,58,Dianne Feinstein Elementary,Aptos Middle
15122172,2447 31st Ave,94116,San Francisco,CA,37.741572,-122.488814,823678,741310,906046,50,Dianne Feinstein Elementary,Aptos Middle
15122219,2459 30th Ave,94116,San Francisco,CA,37.741414,-122.487728,672472,585051,766618,6,Dianne Feinstein Elementary,Aptos Middle
15122269,2479 29th Ave,94116,San Francisco,CA,37.741116,-122.486635,795410,699961,882905,43,Dianne Feinstein Elementary,Aptos Middle
15122295,2414 30th Ave,94116,San Francisco,CA,37.742193,-122.48719,990574,861799,1119349,78,Dianne Feinstein Elementary,Aptos Middle
15122301,2423 28th Ave,94116,San Francisco,CA,37.742123,-122.485631,846709,745104,914446,57,Dianne Feinstein Elementary,Aptos Middle
15122316,2700 Ulloa St,94116,San Francisco,CA,37.740998,-122.4854,1302163,1145903,1458423,92,Dianne Feinstein Elementary,Aptos Middle
